name	shape	dtype	params	mean	std	min	max
base_model.model.model.layers.10.self_attn.o_proj.lora_B.weight	(896, 16)	torch.float32	14336	-0.000010	0.001400	-0.004518	+0.004538
base_model.model.model.layers.10.self_attn.q_proj.lora_A.weight	(16, 896)	torch.float32	14336	+0.000100	0.019210	-0.036813	+0.035765
base_model.model.model.layers.10.self_attn.q_proj.lora_B.weight	(896, 16)	torch.float32	14336	-0.000004	0.001392	-0.004348	+0.004333
base_model.model.model.layers.10.self_attn.v_proj.lora_A.weight	(16, 896)	torch.float32	14336	-0.000087	0.019358	-0.036267	+0.036148
base_model.model.model.layers.10.self_attn.v_proj.lora_B.weight	(128, 16)	torch.float32	2048	+0.000016	0.001220	-0.003595	+0.003930
base_model.model.model.layers.11.mlp.down_proj.lora_A.weight	(16, 4864)	torch.float32	77824	-0.000010	0.008466	-0.018310	+0.018013
base_model.model.model.layers.11.mlp.down_proj.lora_B.weight	(896, 16)	torch.float32	14336	+0.000013	0.001470	-0.004412	+0.004389
base_model.model.model.layers.11.mlp.gate_proj.lora_A.weight	(16, 896)	torch.float32	14336	-0.000209	0.019413	-0.037126	+0.035951
base_model.model.model.layers.11.mlp.gate_proj.lora_B.weight	(4864, 16)	torch.float32	77824	-0.000006	0.001429	-0.004790	+0.004700
base_model.model.model.layers.11.mlp.up_proj.lora_A.weight	(16, 896)	torch.float32	14336	+0.000088	0.019295	-0.036042	+0.036352
base_model.model.model.layers.11.mlp.up_proj.lora_B.weight	(4864, 16)	torch.float32	77824	+0.000006	0.001399	-0.004445	+0.005354
base_model.model.model.layers.11.self_attn.k_proj.lora_A.weight	(16, 896)	torch.float32	14336	-0.000053	0.019335	-0.036139	+0.035163
base_model.model.model.layers.11.self_attn.k_proj.lora_B.weight	(128, 16)	torch.float32	2048	-0.000071	0.001259	-0.003571	+0.003795
base_model.model.model.layers.11.self_attn.o_proj.lora_A.weight	(16, 896)	torch.float32	14336	-0.000065	0.019430	-0.036129	+0.035827
base_model.model.model.layers.11.self_attn.o_proj.lora_B.weight	(896, 16)	torch.float32	14336	+0.000024	0.001410	-0.004428	+0.003946
base_model.model.model.layers.11.self_attn.q_proj.lora_A.weight	(16, 896)	torch.float32	14336	+0.000049	0.019327	-0.035754	+0.036016
base_model.model.model.layers.11.self_attn.q_proj.lora_B.weight	(896, 16)	torch.float32	14336	+0.000005	0.001285	-0.004357	+0.004544
base_model.model.model.layers.11.self_attn.v_proj.lora_A.weight	(16, 896)	torch.float32	14336	+0.000207	0.019300	-0.036347	+0.035400
base_model.model.model.layers.11.self_attn.v_proj.lora_B.weight	(128, 16)	torch.float32	2048	-0.000004	0.001301	-0.003339	+0.003586
base_model.model.model.layers.12.mlp.down_proj.lora_A.weight	(16, 4864)	torch.float32	77824	-0.000032	0.008517	-0.017964	+0.018019
base_model.model.model.layers.12.mlp.down_proj.lora_B.weight	(896, 16)	torch.float32	14336	+0.000005	0.001518	-0.004438	+0.004683
base_model.model.model.layers.12.mlp.gate_proj.lora_A.weight	(16, 896)	torch.float32	14336	-0.000099	0.019578	-0.036496	+0.036403
base_model.model.model.layers.12.mlp.gate_proj.lora_B.weight	(4864, 16)	torch.float32	77824	-0.000000	0.001528	-0.004835	+0.004740
base_model.model.model.layers.12.mlp.up_proj.lora_A.weight	(16, 896)	torch.float32	14336	-0.000097	0.019458	-0.036750	+0.036152
base_model.model.model.layers.12.mlp.up_proj.lora_B.weight	(4864, 16)	torch.float32	77824	-0.000005	0.001514	-0.004448	+0.004529
base_model.model.model.layers.12.self_attn.k_proj.lora_A.weight	(16, 896)	torch.float32	14336	+0.000033	0.019310	-0.036162	+0.035431
base_model.model.model.layers.12.self_attn.k_proj.lora_B.weight	(128, 16)	torch.float32	2048	+0.000032	0.001163	-0.003260	+0.003126
base_model.model.model.layers.12.self_attn.o_proj.lora_A.weight	(16, 896)	torch.float32	14336	+0.000021	0.019376	-0.036434	+0.037296
base_model.model.model.layers.12.self_attn.o_proj.lora_B.weight	(896, 16)	torch.float32	14336	+0.000025	0.001476	-0.004276	+0.004543
base_model.model.model.layers.12.self_attn.q_proj.lora_A.weight	(16, 896)	torch.float32	14336	+0.000031	0.019337	-0.035797	+0.035629
base_model.model.model.layers.12.self_attn.q_proj.lora_B.weight	(896, 16)	torch.float32	14336	-0.000005	0.001313	-0.004247	+0.004451
base_model.model.model.layers.12.self_attn.v_proj.lora_A.weight	(16, 896)	torch.float32	14336	-0.000053	0.019407	-0.036656	+0.036253
base_model.model.model.layers.12.self_attn.v_proj.lora_B.weight	(128, 16)	torch.float32	2048	+0.000032	0.001367	-0.003667	+0.003930
base_model.model.model.layers.13.mlp.down_proj.lora_A.weight	(16, 4864)	torch.float32	77824	+0.000008	0.008529	-0.018444	+0.018105
base_model.model.model.layers.13.mlp.down_proj.lora_B.weight	(896, 16)	torch.float32	14336	-0.000015	0.001568	-0.004479	+0.004462
base_model.model.model.layers.13.mlp.gate_proj.lora_A.weight	(16, 896)	torch.float32	14336	-0.000033	0.019573	-0.036531	+0.037195
base_model.model.model.layers.13.mlp.gate_proj.lora_B.weight	(4864, 16)	torch.float32	77824	-0.000010	0.001589	-0.004876	+0.005053
base_model.model.model.layers.13.mlp.up_proj.lora_A.weight	(16, 896)	torch.float32	14336	-0.000167	0.019529	-0.036352	+0.036718
base_model.model.model.layers.13.mlp.up_proj.lora_B.weight	(4864, 16)	torch.float32	77824	-0.000003	0.001575	-0.004556	+0.004370
base_model.model.model.layers.13.self_attn.k_proj.lora_A.weight	(16, 896)	torch.float32	14336	-0.000071	0.019283	-0.037198	+0.036539
base_model.model.model.layers.13.self_attn.k_proj.lora_B.weight	(128, 16)	torch.float32	2048	+0.000029	0.001600	-0.003910	+0.003787
base_model.model.model.layers.13.self_attn.o_proj.lora_A.weight	(16, 896)	torch.float32	14336	+0.000091	0.019447	-0.036326	+0.036173
base_model.model.model.layers.13.self_attn.o_proj.lora_B.weight	(896, 16)	torch.float32	14336	+0.000031	0.001545	-0.004476	+0.004273
base_model.model.model.layers.13.self_attn.q_proj.lora_A.weight	(16, 896)	torch.float32	14336	+0.000149	0.019368	-0.036742	+0.036281
base_model.model.model.layers.13.self_attn.q_proj.lora_B.weight	(896, 16)	torch.float32	14336	+0.000013	0.001516	-0.004526	+0.004402
base_model.model.model.layers.13.self_attn.v_proj.lora_A.weight	(16, 896)	torch.float32	14336	-0.000044	0.019379	-0.036010	+0.037283
base_model.model.model.layers.13.self_attn.v_proj.lora_B.weight	(128, 16)	torch.float32	2048	-0.000003	0.001472	-0.003629	+0.004260
base_model.model.model.layers.14.mlp.down_proj.lora_A.weight	(16, 4864)	torch.float32	77824	-0.000024	0.008554	-0.017990	+0.018430
base_model.model.model.layers.14.mlp.down_proj.lora_B.weight	(896, 16)	torch.float32	14336	+0.000004	0.001616	-0.004798	+0.004510
base_model.model.model.layers.14.mlp.gate_proj.lora_A.weight	(16, 896)	torch.float32	14336	+0.000431	0.019659	-0.036933	+0.038122
base_model.model.model.layers.14.mlp.gate_proj.lora_B.weight	(4864, 16)	torch.float32	77824	+0.000002	0.001656	-0.005145	+0.005467
base_model.model.model.layers.14.mlp.up_proj.lora_A.weight	(16, 896)	torch.float32	14336	+0.000232	0.019576	-0.036573	+0.037033
base_model.model.model.layers.14.mlp.up_proj.lora_B.weight	(4864, 16)	torch.float32	77824	-0.000005	0.001613	-0.004615	+0.004760
base_model.model.model.layers.14.self_attn.k_proj.lora_A.weight	(16, 896)	torch.float32	14336	-0.000127	0.019327	-0.036055	+0.036679
base_model.model.model.layers.14.self_attn.k_proj.lora_B.weight	(128, 16)	torch.float32	2048	+0.000035	0.001514	-0.003861	+0.004013
base_model.model.model.layers.14.self_attn.o_proj.lora_A.weight	(16, 896)	torch.float32	14336	-0.000207	0.019500	-0.036450	+0.036076
base_model.model.model.layers.14.self_attn.o_proj.lora_B.weight	(896, 16)	torch.float32	14336	-0.000007	0.001599	-0.004424	+0.004543
base_model.model.model.layers.14.self_attn.q_proj.lora_A.weight	(16, 896)	torch.float32	14336	-0.000063	0.019484	-0.036759	+0.035749
base_model.model.model.layers.14.self_attn.q_proj.lora_B.weight	(896, 16)	torch.float32	14336	+0.000003	0.001546	-0.004294	+0.004332
base_model.model.model.layers.14.self_attn.v_proj.lora_A.weight	(16, 896)	torch.float32	14336	+0.000344	0.019254	-0.036263	+0.036175
base_model.model.model.layers.14.self_attn.v_proj.lora_B.weight	(128, 16)	torch.float32	2048	-0.000023	0.001572	-0.004181	+0.004108
base_model.model.model.layers.15.mlp.down_proj.lora_A.weight	(16, 4864)	torch.float32	77824	-0.000047	0.008547	-0.018478	+0.018360
base_model.model.model.layers.15.mlp.down_proj.lora_B.weight	(896, 16)	torch.float32	14336	-0.000015	0.001688	-0.004821	+0.004932
base_model.model.model.layers.15.mlp.gate_proj.lora_A.weight	(16, 896)	torch.float32	14336	-0.000010	0.019740	-0.037106	+0.036982
base_model.model.model.layers.15.mlp.gate_proj.lora_B.weight	(4864, 16)	torch.float32	77824	+0.000001	0.001762	-0.005982	+0.006124
base_model.model.model.layers.15.mlp.up_proj.lora_A.weight	(16, 896)	torch.float32	14336	+0.000256	0.019721	-0.037054	+0.037286
base_model.model.model.layers.15.mlp.up_proj.lora_B.weight	(4864, 16)	torch.float32	77824	-0.000005	0.001708	-0.004974	+0.004938
base_model.model.model.layers.15.self_attn.k_proj.lora_A.weight	(16, 896)	torch.float32	14336	-0.000421	0.019335	-0.036668	+0.036466
base_model.model.model.layers.15.self_attn.k_proj.lora_B.weight	(128, 16)	torch.float32	2048	+0.000037	0.001478	-0.003795	+0.003817
base_model.model.model.layers.15.self_attn.o_proj.lora_A.weight	(16, 896)	torch.float32	14336	-0.000070	0.019508	-0.037153	+0.036990
base_model.model.model.layers.15.self_attn.o_proj.lora_B.weight	(896, 16)	torch.float32	14336	+0.000000	0.001661	-0.004462	+0.004697
base_model.model.model.layers.15.self_attn.q_proj.lora_A.weight	(16, 896)	torch.float32	14336	+0.000024	0.019390	-0.037216	+0.036802
base_model.model.model.layers.15.self_attn.q_proj.lora_B.weight	(896, 16)	torch.float32	14336	+0.000008	0.001551	-0.004182	+0.004399
base_model.model.model.layers.15.self_attn.v_proj.lora_A.weight	(16, 896)	torch.float32	14336	+0.000134	0.019333	-0.035884	+0.036365
base_model.model.model.layers.15.self_attn.v_proj.lora_B.weight	(128, 16)	torch.float32	2048	-0.000044	0.001549	-0.004083	+0.004216
base_model.model.model.layers.16.mlp.down_proj.lora_A.weight	(16, 4864)	torch.float32	77824	+0.000005	0.008607	-0.019084	+0.018507
base_model.model.model.layers.16.mlp.down_proj.lora_B.weight	(896, 16)	torch.float32	14336	+0.000017	0.001816	-0.004839	+0.004983
base_model.model.model.layers.16.mlp.gate_proj.lora_A.weight	(16, 896)	torch.float32	14336	+0.000104	0.019677	-0.037124	+0.037827
base_model.model.model.layers.16.mlp.gate_proj.lora_B.weight	(4864, 16)	torch.float32	77824	-0.000009	0.001823	-0.005504	+0.005290
base_model.model.model.layers.16.mlp.up_proj.lora_A.weight	(16, 896)	torch.float32	14336	+0.000183	0.019763	-0.037237	+0.037836
base_model.model.model.layers.16.mlp.up_proj.lora_B.weight	(4864, 16)	torch.float32	77824	+0.000005	0.001794	-0.005179	+0.005607
base_model.model.model.layers.16.self_attn.k_proj.lora_A.weight	(16, 896)	torch.float32	14336	+0.000092	0.019348	-0.038408	+0.037521
base_model.model.model.layers.16.self_attn.k_proj.lora_B.weight	(128, 16)	torch.float32	2048	-0.000005	0.001741	-0.005172	+0.004970
base_model.model.model.layers.16.self_attn.o_proj.lora_A.weight	(16, 896)	torch.float32	14336	+0.000168	0.019628	-0.037599	+0.037671
base_model.model.model.layers.16.self_attn.o_proj.lora_B.weight	(896, 16)	torch.float32	14336	+0.000014	0.001734	-0.005077	+0.004779
base_model.model.model.layers.16.self_attn.q_proj.lora_A.weight	(16, 896)	torch.float32	14336	-0.000301	0.019453	-0.036782	+0.037210
base_model.model.model.layers.16.self_attn.q_proj.lora_B.weight	(896, 16)	torch.float32	14336	-0.000038	0.001627	-0.005126	+0.005009
base_model.model.model.layers.16.self_attn.v_proj.lora_A.weight	(16, 896)	torch.float32	14336	+0.000250	0.019475	-0.037707	+0.037678
base_model.model.model.layers.16.self_attn.v_proj.lora_B.weight	(128, 16)	torch.float32	2048	-0.000007	0.001708	-0.004741	+0.004761
base_model.model.model.layers.17.mlp.down_proj.lora_A.weight	(16, 4864)	torch.float32	77824	-0.000022	0.008639	-0.018355	+0.018777
base_model.model.model.layers.17.mlp.down_proj.lora_B.weight	(896, 16)	torch.float32	14336	-0.000002	0.001852	-0.004625	+0.005082
base_model.model.model.layers.17.mlp.gate_proj.lora_A.weight	(16, 896)	torch.float32	14336	+0.000129	0.019671	-0.037749	+0.037484
base_model.model.model.layers.17.mlp.gate_proj.lora_B.weight	(4864, 16)	torch.float32	77824	-0.000009	0.001878	-0.005700	+0.005578
base_model.model.model.layers.17.mlp.up_proj.lora_A.weight	(16, 896)	torch.float32	14336	-0.000148	0.019734	-0.037180	+0.037243
base_model.model.model.layers.17.mlp.up_proj.lora_B.weight	(4864, 16)	torch.float32	77824	-0.000003	0.001873	-0.005518	+0.005012
base_model.model.model.layers.17.self_attn.k_proj.lora_A.weight	(16, 896)	torch.float32	14336	+0.000120	0.019438	-0.036889	+0.036702
base_model.model.model.layers.17.self_attn.k_proj.lora_B.weight	(128, 16)	torch.float32	2048	-0.000003	0.001770	-0.004258	+0.004055
base_model.model.model.layers.17.self_attn.o_proj.lora_A.weight	(16, 896)	torch.float32	14336	+0.000086	0.019502	-0.037303	+0.036780
base_model.model.model.layers.17.self_attn.o_proj.lora_B.weight	(896, 16)	torch.float32	14336	-0.000001	0.001796	-0.004712	+0.004477
base_model.model.model.layers.17.self_attn.q_proj.lora_A.weight	(16, 896)	torch.float32	14336	-0.000051	0.019548	-0.036593	+0.037256
base_model.model.model.layers.17.self_attn.q_proj.lora_B.weight	(896, 16)	torch.float32	14336	-0.000034	0.001829	-0.004585	+0.004532
base_model.model.model.layers.17.self_attn.v_proj.lora_A.weight	(16, 896)	torch.float32	14336	-0.000055	0.019472	-0.036589	+0.037501
base_model.model.model.layers.17.self_attn.v_proj.lora_B.weight	(128, 16)	torch.float32	2048	+0.000004	0.001784	-0.003864	+0.004207
base_model.model.model.layers.18.mlp.down_proj.lora_A.weight	(16, 4864)	torch.float32	77824	+0.000033	0.008632	-0.018836	+0.018852
base_model.model.model.layers.18.mlp.down_proj.lora_B.weight	(896, 16)	torch.float32	14336	+0.000004	0.001885	-0.004922	+0.004926
base_model.model.model.layers.18.mlp.gate_proj.lora_A.weight	(16, 896)	torch.float32	14336	+0.000262	0.019833	-0.037792	+0.038033
base_model.model.model.layers.18.mlp.gate_proj.lora_B.weight	(4864, 16)	torch.float32	77824	-0.000006	0.001894	-0.005691	+0.005628
base_model.model.model.layers.18.mlp.up_proj.lora_A.weight	(16, 896)	torch.float32	14336	+0.000196	0.019692	-0.038589	+0.037261
base_model.model.model.layers.18.mlp.up_proj.lora_B.weight	(4864, 16)	torch.float32	77824	-0.000008	0.001930	-0.005285	+0.005350
base_model.model.model.layers.18.self_attn.k_proj.lora_A.weight	(16, 896)	torch.float32	14336	+0.000097	0.019537	-0.036974	+0.036803
base_model.model.model.layers.18.self_attn.k_proj.lora_B.weight	(128, 16)	torch.float32	2048	-0.000043	0.001688	-0.004047	+0.004158
base_model.model.model.layers.18.self_attn.o_proj.lora_A.weight	(16, 896)	torch.float32	14336	-0.000157	0.019643	-0.037187	+0.037515
base_model.model.model.layers.18.self_attn.o_proj.lora_B.weight	(896, 16)	torch.float32	14336	-0.000027	0.001889	-0.005666	+0.005111
base_model.model.model.layers.18.self_attn.q_proj.lora_A.weight	(16, 896)	torch.float32	14336	-0.000106	0.019388	-0.037148	+0.036341
base_model.model.model.layers.18.self_attn.q_proj.lora_B.weight	(896, 16)	torch.float32	14336	-0.000010	0.001788	-0.005430	+0.005579
base_model.model.model.layers.18.self_attn.v_proj.lora_A.weight	(16, 896)	torch.float32	14336	+0.000130	0.019484	-0.037341	+0.037466
base_model.model.model.layers.18.self_attn.v_proj.lora_B.weight	(128, 16)	torch.float32	2048	+0.000023	0.001798	-0.003819	+0.004312
base_model.model.model.layers.19.mlp.down_proj.lora_A.weight	(16, 4864)	torch.float32	77824	+0.000019	0.008654	-0.018779	+0.018716
base_model.model.model.layers.19.mlp.down_proj.lora_B.weight	(896, 16)	torch.float32	14336	-0.000008	0.002055	-0.005056	+0.004804
base_model.model.model.layers.19.mlp.gate_proj.lora_A.weight	(16, 896)	torch.float32	14336	+0.000126	0.019710	-0.037327	+0.037492
base_model.model.model.layers.19.mlp.gate_proj.lora_B.weight	(4864, 16)	torch.float32	77824	+0.000011	0.001950	-0.005711	+0.006235
base_model.model.model.layers.19.mlp.up_proj.lora_A.weight	(16, 896)	torch.float32	14336	+0.000144	0.019777	-0.037419	+0.037214
base_model.model.model.layers.19.mlp.up_proj.lora_B.weight	(4864, 16)	torch.float32	77824	+0.000000	0.001987	-0.005655	+0.005564
base_model.model.model.layers.19.self_attn.k_proj.lora_A.weight	(16, 896)	torch.float32	14336	-0.000088	0.019281	-0.037339	+0.036701
base_model.model.model.layers.19.self_attn.k_proj.lora_B.weight	(128, 16)	torch.float32	2048	-0.000033	0.001712	-0.004897	+0.004892
base_model.model.model.layers.19.self_attn.o_proj.lora_A.weight	(16, 896)	torch.float32	14336	+0.000036	0.019599	-0.037454	+0.036971
base_model.model.model.layers.19.self_attn.o_proj.lora_B.weight	(896, 16)	torch.float32	14336	-0.000005	0.001940	-0.004725	+0.004897
base_model.model.model.layers.19.self_attn.q_proj.lora_A.weight	(16, 896)	torch.float32	14336	-0.000131	0.019401	-0.037389	+0.036988
base_model.model.model.layers.19.self_attn.q_proj.lora_B.weight	(896, 16)	torch.float32	14336	+0.000006	0.001728	-0.004581	+0.004909
base_model.model.model.layers.19.self_attn.v_proj.lora_A.weight	(16, 896)	torch.float32	14336	-0.000244	0.019392	-0.037050	+0.036981
base_model.model.model.layers.19.self_attn.v_proj.lora_B.weight	(128, 16)	torch.float32	2048	+0.000037	0.001878	-0.004499	+0.003979
base_model.model.model.layers.2.mlp.down_proj.lora_A.weight	(16, 4864)	torch.float32	77824	+0.000012	0.008360	-0.017476	+0.018041
base_model.model.model.layers.2.mlp.down_proj.lora_B.weight	(896, 16)	torch.float32	14336	-0.000003	0.001308	-0.003442	+0.003422
base_model.model.model.layers.2.mlp.gate_proj.lora_A.weight	(16, 896)	torch.float32	14336	-0.000034	0.019187	-0.035157	+0.035795
base_model.model.model.layers.2.mlp.gate_proj.lora_B.weight	(4864, 16)	torch.float32	77824	-0.000005	0.001243	-0.004434	+0.004327
base_model.model.model.layers.2.mlp.up_proj.lora_A.weight	(16, 896)	torch.float32	14336	-0.000044	0.019307	-0.035520	+0.035233
base_model.model.model.layers.2.mlp.up_proj.lora_B.weight	(4864, 16)	torch.float32	77824	+0.000000	0.001222	-0.003877	+0.004261
base_model.model.model.layers.2.self_attn.k_proj.lora_A.weight	(16, 896)	torch.float32	14336	-0.000175	0.019344	-0.035932	+0.035764
base_model.model.model.layers.2.self_attn.k_proj.lora_B.weight	(128, 16)	torch.float32	2048	-0.000026	0.001225	-0.003774	+0.003552
base_model.model.model.layers.2.self_attn.o_proj.lora_A.weight	(16, 896)	torch.float32	14336	-0.000115	0.019320	-0.036807	+0.036016
base_model.model.model.layers.2.self_attn.o_proj.lora_B.weight	(896, 16)	torch.float32	14336	-0.000011	0.001259	-0.004489	+0.004198
base_model.model.model.layers.2.self_attn.q_proj.lora_A.weight	(16, 896)	torch.float32	14336	-0.000090	0.019280	-0.035578	+0.036404
base_model.model.model.layers.2.self_attn.q_proj.lora_B.weight	(896, 16)	torch.float32	14336	+0.000003	0.001269	-0.003832	+0.004231
base_model.model.model.layers.2.self_attn.v_proj.lora_A.weight	(16, 896)	torch.float32	14336	-0.000203	0.019369	-0.035910	+0.036138
