name	shape	dtype	params	mean	std	min	max
base_model.model.model.layers.23.mlp.gate_proj.lora_A.weight	(16, 896)	torch.float32	14336	-0.000349	0.019811	-0.037325	+0.037036
base_model.model.model.layers.23.mlp.gate_proj.lora_B.weight	(4864, 16)	torch.float32	77824	+0.000011	0.002122	-0.006458	+0.005839
base_model.model.model.layers.23.mlp.up_proj.lora_A.weight	(16, 896)	torch.float32	14336	+0.000202	0.019608	-0.037262	+0.037764
base_model.model.model.layers.23.mlp.up_proj.lora_B.weight	(4864, 16)	torch.float32	77824	+0.000007	0.002167	-0.005717	+0.006095
base_model.model.model.layers.23.self_attn.k_proj.lora_A.weight	(16, 896)	torch.float32	14336	+0.000154	0.019459	-0.037316	+0.036701
base_model.model.model.layers.23.self_attn.k_proj.lora_B.weight	(128, 16)	torch.float32	2048	+0.000014	0.001785	-0.004092	+0.003808
base_model.model.model.layers.23.self_attn.o_proj.lora_A.weight	(16, 896)	torch.float32	14336	+0.000112	0.019544	-0.037709	+0.037085
base_model.model.model.layers.23.self_attn.o_proj.lora_B.weight	(896, 16)	torch.float32	14336	-0.000031	0.002151	-0.004793	+0.004887
base_model.model.model.layers.23.self_attn.q_proj.lora_A.weight	(16, 896)	torch.float32	14336	-0.000067	0.019468	-0.036686	+0.037362
base_model.model.model.layers.23.self_attn.q_proj.lora_B.weight	(896, 16)	torch.float32	14336	+0.000012	0.001984	-0.005226	+0.004854
base_model.model.model.layers.23.self_attn.v_proj.lora_A.weight	(16, 896)	torch.float32	14336	-0.000003	0.019357	-0.036759	+0.036985
base_model.model.model.layers.23.self_attn.v_proj.lora_B.weight	(128, 16)	torch.float32	2048	-0.000042	0.002025	-0.004072	+0.004069
base_model.model.model.layers.3.mlp.down_proj.lora_A.weight	(16, 4864)	torch.float32	77824	+0.000026	0.008378	-0.017040	+0.017417
base_model.model.model.layers.3.mlp.down_proj.lora_B.weight	(896, 16)	torch.float32	14336	+0.000004	0.001335	-0.003828	+0.003593
base_model.model.model.layers.3.mlp.gate_proj.lora_A.weight	(16, 896)	torch.float32	14336	+0.000391	0.019481	-0.035343	+0.035290
base_model.model.model.layers.3.mlp.gate_proj.lora_B.weight	(4864, 16)	torch.float32	77824	-0.000000	0.001249	-0.003892	+0.004318
base_model.model.model.layers.3.mlp.up_proj.lora_A.weight	(16, 896)	torch.float32	14336	-0.000086	0.019299	-0.035083	+0.035790
base_model.model.model.layers.3.mlp.up_proj.lora_B.weight	(4864, 16)	torch.float32	77824	+0.000007	0.001236	-0.004154	+0.004051
base_model.model.model.layers.3.self_attn.k_proj.lora_A.weight	(16, 896)	torch.float32	14336	+0.000067	0.019408	-0.037448	+0.035975
base_model.model.model.layers.3.self_attn.k_proj.lora_B.weight	(128, 16)	torch.float32	2048	-0.000020	0.001302	-0.003604	+0.003889
